 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2000
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";22;1159;755;1805;694;618;956;1285;7294
".. Rondônia";1;169;82;175;86;55;22;134;724
".. Acre";1;58;59;89;37;38;105;89;476
".. Amazonas";8;290;164;425;162;155;328;332;1864
".. Roraima";5;32;14;28;15;15;9;63;181
".. Pará";7;476;308;815;310;269;449;510;3144
".. Amapá";-;53;47;133;17;16;2;46;314
".. Tocantins";-;81;81;140;67;70;41;111;591
"Região Nordeste";21;3710;2097;4992;2005;2700;5111;3917;24553
".. Maranhão";1;185;164;312;156;130;620;330;1898
".. Piauí";-;167;117;256;77;110;321;297;1345
".. Ceará";-;611;298;783;373;520;486;730;3801
".. Rio Grande do Norte";1;174;124;324;115;134;157;177;1206
".. Paraíba";2;252;165;380;138;140;537;234;1848
".. Pernambuco";9;858;398;866;385;689;993;687;4885
".. Alagoas";4;289;178;475;181;297;411;192;2027
".. Sergipe";-;267;115;290;98;108;95;190;1163
".. Bahia";4;907;538;1306;482;572;1491;1080;6380
"Região Sudeste";29;5274;2348;5687;2537;1542;873;6104;24394
".. Minas Gerais";3;1418;630;1467;582;447;262;1449;6258
".. Espírito Santo";5;231;121;231;86;48;138;240;1100
".. Rio de Janeiro";6;1057;516;1248;536;276;94;1381;5114
".. São Paulo";15;2568;1081;2741;1333;771;379;3034;11922
"Região Sul";9;1683;761;1453;724;816;340;1894;7680
".. Paraná";4;802;380;685;308;373;150;812;3514
".. Santa Catarina";3;287;149;242;160;179;113;357;1490
".. Rio Grande do Sul";2;594;232;526;256;264;77;725;2676
"Região Centro-Oeste";13;893;384;991;431;337;110;1119;4278
".. Mato Grosso do Sul";2;193;93;212;111;100;30;224;965
".. Mato Grosso";5;223;99;282;109;99;31;274;1122
".. Goiás";5;299;124;373;156;82;42;419;1500
".. Distrito Federal";1;178;68;124;55;56;7;202;691
"Total";94;12719;6345;14928;6391;6013;7390;14319;68199
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
